dog_id,hs_condition,days_from_present,months_from_present
30061,1617,2151,70.68
30061,1812,1633,53.68
13208,198,872,28.68
13208,304,964,31.68
13208,305,964,31.68
13208,306,964,31.68
48502,998,1756,57.68
48502,1106,2791,91.68
48502,1108,2791,91.68
48502,1110,2791,91.68
48502,1112,2791,91.68
48502,1113,2791,91.68
30018,398,3064,100.68
80531,712,1299,42.68
80531,1113,1695,55.68
80531,1619,3612,118.68
80531,1701,994,32.68
80531,1704,1542,50.68
80531,1801,2090,68.68
65945,112,2241,73.68
65945,409,1177,38.68
65945,430,2425,79.68
65945,504,1177,38.68
65945,1619,2241,73.68
65945,1622,1299,42.68
65945,1637,1299,42.68
65945,1902,1177,38.68
87033,305,2425,79.68
87033,412,5012,164.68
3204,305,2455,80.68
3204,405,994,32.68
3204,708,1968,64.68
3204,807,1968,64.68
3204,1304,1937,63.68
3204,1605,2913,95.68
3204,1617,3186,104.68
26451,798,1542,50.68
26451,1117,2090,68.68
36961,108,1511,49.68
86771,1801,1360,44.68
102007,108,1115,36.68
102007,305,1725,56.68
102007,798,1511,49.68
102007,1617,2729,89.68
102007,1701,3064,100.68
102007,1812,1025,33.68
48204,102,1086,35.68
48204,512,1086,35.68
15604,1801,1086,35.68
95647,605,2668,87.68
95647,1605,2699,88.68
938,304,1268,41.68
938,424,4252,139.68
28893,201,1480,48.68
28893,202,4555,149.68
28893,426,4555,149.68
28893,916,1633,53.68
28893,1703,1968,64.68
28893,1801,2425,79.68
91456,708,4129,135.68
91456,709,4129,135.68
91456,712,4129,135.68
91456,798,4129,135.68
91456,1105,3033,99.68
91456,1817,599,19.68
31862,404,2607,85.68
10700,1801,2090,68.68
81963,428,1330,43.68
81963,713,2576,84.68
81963,1017,3064,100.68
81963,1106,537,17.68
96001,1801,1299,42.68
71380,202,3977,130.68
71380,208,3977,130.68
71380,407,3977,130.68
4290,704,4252,139.68
4290,305,1238,40.68
4290,307,1238,40.68
4290,713,2121,69.68
4290,1701,1055,34.68
77764,713,1633,53.68
77764,1617,1480,48.68
77764,1801,2121,69.68
9941,304,1055,34.68
9941,429,2241,73.68
14232,1298,3429,112.68
14232,1598,3094,101.68
14232,201,1817,59.68
14232,612,994,32.68
14232,1215,4890,160.68
14232,1703,2638,86.68
39309,202,1299,42.68
39309,313,3094,101.68
39309,1617,2121,69.68
39309,1801,872,28.68
77525,306,4008,131.68
77525,1617,3947,129.68
77525,1701,3551,116.68
77525,1809,933,30.68
77525,1817,2090,68.68
52471,102,872,28.68
52471,411,1238,40.68
52471,1619,5774,189.68
91233,102,1633,53.68
91233,304,2821,92.68
91233,305,1086,35.68
91233,809,2882,94.68
91233,1113,1876,61.68
91233,1634,4920,161.68
91233,1637,4221,138.68
91233,1701,811,26.68
91233,1703,994,32.68
90580,105,3671,120.68
90580,198,3671,120.68
90580,304,1480,48.68
90580,432,872,28.68
90580,1113,811,26.68
90580,1601,2760,90.68
90580,1624,3671,120.68
90580,1637,2121,69.68
78226,798,1115,36.68
78226,1105,902,29.68
78226,1627,1055,34.68
67388,305,1633,53.68
67388,406,2241,73.68
67388,415,994,32.68
67388,915,2972,97.68
73869,1801,1025,33.68
37385,305,1664,54.68
37385,306,1664,54.68
37385,313,4190,137.68
37385,398,841,27.68
37385,405,1603,52.68
37385,426,1511,49.68
37385,428,2455,80.68
37385,708,4129,135.68
37385,914,964,31.68
37385,1617,4129,135.68
